state_name,district_name_raw,district_name_clean,lgd_district_code,year,fluoride_avg,ph_avg,hardness_avg,contamination_index,num_stations,match_confidence
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,North And Middle Andaman,632.0,2011,0.6499429197635515,7.955365891366213,314.63801180302147,0,35,91.30434782608695
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,North And Middle Andaman,632.0,2012,0.6499429197635515,7.955365891366213,314.63801180302147,0,35,91.30434782608695
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,North And Middle Andaman,632.0,2013,0.6499429197635515,7.955365891366213,314.63801180302147,0,35,91.30434782608695
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,North And Middle Andaman,632.0,2014,0.6499429197635515,7.955365891366213,314.63801180302147,0,35,91.30434782608695
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,North And Middle Andaman,632.0,2015,0.6499429197635515,7.955365891366213,314.63801180302147,0,35,91.30434782608695
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,North And Middle Andaman,632.0,2016,0.272258064516129,7.885483870967741,200.68950322580645,1,35,91.30434782608695
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,North And Middle Andaman,632.0,2017,0.6499429197635515,7.955365891366213,314.63801180302147,0,35,91.30434782608695
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,North And Middle Andaman,632.0,2018,0.8222222222222223,8.089444444444446,189.72222222222223,0,35,91.30434782608695
ANDAMAN & NICOBAR,SOUTH ANDAMAN,South Andamans,602.0,2011,0.18615384615384614,7.778787878787878,198.93939393939394,0,74,96.29629629629629
ANDAMAN & NICOBAR,SOUTH ANDAMAN,South Andamans,602.0,2012,0.1465,8.205714285714285,200.0,0,74,96.29629629629629
ANDAMAN & NICOBAR,SOUTH ANDAMAN,South Andamans,602.0,2013,0.345,7.95593220338983,187.88135593220338,0,74,96.29629629629629
ANDAMAN & NICOBAR,SOUTH ANDAMAN,South Andamans,602.0,2014,0.6499429197635515,7.955365891366213,314.63801180302147,0,74,96.29629629629629
ANDAMAN & NICOBAR,SOUTH ANDAMAN,South Andamans,602.0,2015,0.6499429197635515,7.955365891366213,314.63801180302147,0,74,96.29629629629629
ANDAMAN & NICOBAR,SOUTH ANDAMAN,South Andamans,602.0,2016,0.28818181818181815,7.829090909090909,190.09818545454544,0,74,96.29629629629629
ANDAMAN & NICOBAR,SOUTH ANDAMAN,South Andamans,602.0,2017,0.6499429197635515,7.955365891366213,314.63801180302147,0,74,96.29629629629629
ANDAMAN & NICOBAR,SOUTH ANDAMAN,South Andamans,602.0,2018,0.5654545454545454,8.128181818181819,163.9090909090909,0,74,96.29629629629629
ANDHRA PRADESH,ANANTAPUR,Ananthapuramu,502.0,2011,1.3154166666666667,7.857083333333333,344.7083333333333,2,70,81.81818181818183
ANDHRA PRADESH,ANANTAPUR,Ananthapuramu,502.0,2012,1.4045833333333333,7.72,314.63801180302147,1,70,81.81818181818183
ANDHRA PRADESH,ANANTAPUR,Ananthapuramu,502.0,2013,1.4609677419354838,7.952500000000001,332.09375,2,70,81.81818181818183
ANDHRA PRADESH,ANANTAPUR,Ananthapuramu,502.0,2014,1.1176666666666668,7.775666666666667,432.0,2,70,81.81818181818183
ANDHRA PRADESH,ANANTAPUR,Ananthapuramu,502.0,2015,1.1385185185185185,7.4292592592592595,504.55555555555554,2,70,81.81818181818183
ANDHRA PRADESH,ANANTAPUR,Ananthapuramu,502.0,2016,1.1153333333333333,7.749666666666667,513.8333333333334,3,70,81.81818181818183
ANDHRA PRADESH,ANANTAPUR,Ananthapuramu,502.0,2017,1.0204347826086957,7.519130434782609,537.3913043478261,2,70,81.81818181818183
ANDHRA PRADESH,ANANTAPUR,Ananthapuramu,502.0,2018,1.2516216216216216,7.752162162162162,572.027027027027,2,70,81.81818181818183
ANDHRA PRADESH,CHITTOOR,Chittoor,503.0,2011,0.6,7.586521739130435,340.3478260869565,2,84,100.0
ANDHRA PRADESH,CHITTOOR,Chittoor,503.0,2012,0.5894117647058823,7.312647058823529,314.63801180302147,1,84,100.0
ANDHRA PRADESH,CHITTOOR,Chittoor,503.0,2013,0.62,7.937916666666666,302.9166666666667,1,84,100.0
ANDHRA PRADESH,CHITTOOR,Chittoor,503.0,2014,0.535483870967742,7.680645161290323,402.258064516129,1,84,100.0
ANDHRA PRADESH,CHITTOOR,Chittoor,503.0,2015,0.5175,7.2325,382.1875,1,84,100.0
ANDHRA PRADESH,CHITTOOR,Chittoor,503.0,2016,0.7445833333333334,7.587083333333333,465.3125,3,84,100.0
ANDHRA PRADESH,CHITTOOR,Chittoor,503.0,2017,0.5856666666666667,7.555000000000001,499.3333333333333,1,84,100.0
ANDHRA PRADESH,CHITTOOR,Chittoor,503.0,2018,0.6871875,7.708125,432.8125,1,84,100.0
ANDHRA PRADESH,EAST GODAVARI,East Godavari,505.0,2011,0.4551428571428571,7.756285714285715,337.0285714285714,1,130,100.0
ANDHRA PRADESH,EAST GODAVARI,East Godavari,505.0,2012,0.3983333333333334,7.765,314.63801180302147,0,130,100.0
ANDHRA PRADESH,EAST GODAVARI,East Godavari,505.0,2013,0.31181818181818177,8.066181818181818,301.3636363636364,1,130,100.0
ANDHRA PRADESH,EAST GODAVARI,East Godavari,505.0,2014,0.3572222222222222,8.138275862068966,298.4736842105263,2,130,100.0
ANDHRA PRADESH,EAST GODAVARI,East Godavari,505.0,2015,0.243030303030303,7.8933333333333335,353.72727272727275,1,130,100.0
ANDHRA PRADESH,EAST GODAVARI,East Godavari,505.0,2016,0.3829411764705883,7.895196078431372,331.8872549019608,2,130,100.0
ANDHRA PRADESH,EAST GODAVARI,East Godavari,505.0,2017,0.5310294117647059,7.969705882352942,427.27941176470586,1,130,100.0
ANDHRA PRADESH,EAST GODAVARI,East Godavari,505.0,2018,0.5358536585365853,7.629512195121952,464.1463414634146,1,130,100.0
ANDHRA PRADESH,GUNTUR,Guntur,506.0,2011,0.6941025641025641,7.774102564102564,467.9230769230769,2,116,100.0
ANDHRA PRADESH,GUNTUR,Guntur,506.0,2012,0.6823809523809524,7.907619047619048,314.63801180302147,1,116,100.0
ANDHRA PRADESH,GUNTUR,Guntur,506.0,2013,0.7015151515151515,7.998030303030303,446.969696969697,2,116,100.0
ANDHRA PRADESH,GUNTUR,Guntur,506.0,2014,0.6926923076923077,7.875641025641025,417.11538461538464,2,116,100.0
ANDHRA PRADESH,GUNTUR,Guntur,506.0,2015,0.7098305084745763,8.039152542372882,478.3050847457627,2,116,100.0
ANDHRA PRADESH,GUNTUR,Guntur,506.0,2016,0.7920253164556962,7.86948717948718,401.5189873417722,3,116,100.0
ANDHRA PRADESH,GUNTUR,Guntur,506.0,2017,0.8816666666666667,7.584027777777777,580.4861111111111,2,116,100.0
ANDHRA PRADESH,GUNTUR,Guntur,506.0,2018,0.827294117647059,7.548235294117648,615.9411764705883,2,116,100.0
ANDHRA PRADESH,KRISHNA,Krishna,510.0,2011,0.37625,7.840833333333333,428.2916666666667,2,88,100.0
ANDHRA PRADESH,KRISHNA,Krishna,510.0,2012,0.5383333333333333,7.80875,314.63801180302147,1,88,100.0
ANDHRA PRADESH,KRISHNA,Krishna,510.0,2013,0.4518181818181818,8.244318181818182,401.1136363636364,1,88,100.0
ANDHRA PRADESH,KRISHNA,Krishna,510.0,2014,0.5077049180327868,7.857868852459016,451.88524590163934,2,88,100.0
ANDHRA PRADESH,KRISHNA,Krishna,510.0,2015,0.499795918367347,7.969591836734693,506.734693877551,1,88,100.0
ANDHRA PRADESH,KRISHNA,Krishna,510.0,2016,0.7203076923076923,8.011538461538462,529.4230769230769,3,88,100.0
ANDHRA PRADESH,KRISHNA,Krishna,510.0,2017,0.7032727272727273,7.704909090909091,588.3636363636364,1,88,100.0
ANDHRA PRADESH,KRISHNA,Krishna,510.0,2018,0.7430508474576272,7.527627118644068,622.2881355932203,1,88,100.0
ANDHRA PRADESH,KURNOOL,Kurnool,511.0,2011,1.034,7.7735,390.0,2,73,100.0
ANDHRA PRADESH,KURNOOL,Kurnool,511.0,2012,0.9954545454545454,7.805000000000001,314.63801180302147,1,73,100.0
ANDHRA PRADESH,KURNOOL,Kurnool,511.0,2013,0.946086956521739,7.979565217391304,439.4782608695652,2,73,100.0
ANDHRA PRADESH,KURNOOL,Kurnool,511.0,2014,0.8163636363636364,7.919090909090909,438.4848484848485,2,73,100.0
ANDHRA PRADESH,KURNOOL,Kurnool,511.0,2015,0.86,7.314375,663.28125,2,73,100.0
