Country,State,Year,Region,Program,Type Of Institution,"Approved Intake (UOM:Number), Scaling Factor:1","Institutions (UOM:Number), Scaling Factor:1","Total Approved Institutions (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2021",Eastern,,Diploma,468,2,2
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2021",Eastern,,UG,90,1,2
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2021",Eastern,,PG,,,2
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",South - Central,,Diploma,70434,284,685
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",South - Central,,UG,156762,355,685
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",South - Central,,PG,72411,487,685
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Eastern,,Diploma,840,8,10
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Eastern,,UG,360,1,10
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",Eastern,,PG,228,2,10
India,Assam,"Financial Year (Apr - Mar), 2021",Eastern,,Diploma,5165,35,67
India,Assam,"Financial Year (Apr - Mar), 2021",Eastern,,UG,5355,26,67
India,Assam,"Financial Year (Apr - Mar), 2021",Eastern,,PG,1845,26,67
India,Bihar,"Financial Year (Apr - Mar), 2021",Northern,,Diploma,19811,83,170
India,Bihar,"Financial Year (Apr - Mar), 2021",Northern,,UG,15365,66,170
India,Bihar,"Financial Year (Apr - Mar), 2021",Northern,,PG,4442,47,170
India,Chandigarh,"Financial Year (Apr - Mar), 2021",North - West,,Diploma,930,5,15
India,Chandigarh,"Financial Year (Apr - Mar), 2021",North - West,,UG,1800,7,15
India,Chandigarh,"Financial Year (Apr - Mar), 2021",North - West,,PG,912,11,15
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Central,,Diploma,10092,62,100
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Central,,UG,13400,44,100
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Central,,PG,3940,38,100
India,Delhi,"Financial Year (Apr - Mar), 2021",North - West,,Diploma,5825,21,83
India,Delhi,"Financial Year (Apr - Mar), 2021",North - West,,UG,12004,23,83
