country,state_name,state_code,district_name,district_code,department type,department,csir_spent_inr_crores,year,csir_spent_usd_millions
India,Delhi,7,East,78,Other than Aspirational,Others,0.0,2016,0.0
India,Delhi,7,East,78,Other than Aspirational,Rural Development,0.0,2016,0.0
India,Delhi,7,East,78,Other than Aspirational,Slum Area Development,0.0,2016,0.0
India,Delhi,7,North East,81,Other than Aspirational,Others,0.0,2014,0.0
India,Delhi,7,South,83,Other than Aspirational,Encouraging Sports,0.05,2015,0.006024096385542169
India,Delhi,7,South,83,Other than Aspirational,Slum Area Development,0.05,2016,0.006024096385542169
India,Delhi,7,South,83,Other than Aspirational,Others,0.0,2018,0.0
India,Delhi,7,South,83,Other than Aspirational,Rural Development,0.04,2018,0.004819277108433735
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,Rural Development,0.0,2018,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2014,0.0
India,Jammu And Kashmir,1,Baramulla,3,Aspirational,"Education, Differently Abled, livelihood",0.0,2014,0.0
India,Jammu And Kashmir,1,Baramulla,3,Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2014,0.0
India,Jammu And Kashmir,1,Baramulla,3,Aspirational,Rural Development,0.0,2014,0.0
India,Jammu And Kashmir,1,Baramulla,3,Aspirational,"Education, Differently Abled, livelihood",0.0,2015,0.0
India,Jammu And Kashmir,1,Baramulla,3,Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2015,0.0
India,Jammu And Kashmir,1,Baramulla,3,Aspirational,Rural Development,0.0,2015,0.0
India,Jammu And Kashmir,1,Baramulla,3,Aspirational,"Education, Differently Abled, livelihood",0.0,2016,0.0
India,Jammu And Kashmir,1,Baramulla,3,Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2016,0.0
India,Jammu And Kashmir,1,Baramulla,3,Aspirational,Rural Development,0.0,2016,0.0
India,Jammu And Kashmir,1,Baramulla,3,Aspirational,"Education, Differently Abled, livelihood",0.0,2017,0.0
India,Jammu And Kashmir,1,Baramulla,3,Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2017,0.0
India,Jammu And Kashmir,1,Baramulla,3,Aspirational,Rural Development,0.0,2017,0.0
