state_name,year,type_of_institution,approved_intake,institutions,total_approved_institutions
ANDAMAN AND NICOBAR ISLANDS,2012,Diploma,1.0,1.0,0.0
ANDAMAN AND NICOBAR ISLANDS,2012,UG+PG,270.0,90.0,0.0
ANDAMAN AND NICOBAR ISLANDS,2014,Diploma,270.0,1.0,0.0
ANDAMAN AND NICOBAR ISLANDS,2014,UG+PG,90.0,1.0,0.0
ANDAMAN AND NICOBAR ISLANDS,2015,Diploma,270.0,1.0,1.0
ANDAMAN AND NICOBAR ISLANDS,2015,UG+PG,90.0,1.0,1.0
ANDAMAN AND NICOBAR ISLANDS,2016,Diploma,1.0,60.0,4.0
ANDAMAN AND NICOBAR ISLANDS,2016,PG,3.0,190.0,4.0
ANDAMAN AND NICOBAR ISLANDS,2016,UG,1.0,270.0,4.0
ANDAMAN AND NICOBAR ISLANDS,2017,Diploma,1.0,420.0,1.0
ANDAMAN AND NICOBAR ISLANDS,2017,PG,0.0,0.0,1.0
ANDAMAN AND NICOBAR ISLANDS,2017,UG,1.0,90.0,1.0
ANDAMAN AND NICOBAR ISLANDS,2018,Diploma,2.0,480.0,2.0
ANDAMAN AND NICOBAR ISLANDS,2018,PG,0.0,0.0,2.0
ANDAMAN AND NICOBAR ISLANDS,2018,UG,1.0,90.0,2.0
ANDAMAN AND NICOBAR ISLANDS,2019,Diploma,480.0,2.0,2.0
ANDAMAN AND NICOBAR ISLANDS,2019,PG,0.0,0.0,2.0
ANDAMAN AND NICOBAR ISLANDS,2019,UG,90.0,1.0,2.0
ANDAMAN AND NICOBAR ISLANDS,2020,Diploma,480.0,3.0,2.0
ANDAMAN AND NICOBAR ISLANDS,2020,PG,0.0,0.0,2.0
ANDAMAN AND NICOBAR ISLANDS,2020,UG,90.0,1.0,2.0
ANDAMAN AND NICOBAR ISLANDS,2021,Diploma,468.0,2.0,2.0
ANDAMAN AND NICOBAR ISLANDS,2021,PG,0.0,0.0,2.0
ANDAMAN AND NICOBAR ISLANDS,2021,UG,90.0,1.0,2.0
ANDHRA PRADESH,2012,Diploma,1430.794475002281,252.63106051863295,0.0
ANDHRA PRADESH,2012,UG+PG,58087.559390711205,347523.62436647987,0.0
ANDHRA PRADESH,2013,Diploma,71979.92311542609,298.35083481202827,0.0
ANDHRA PRADESH,2013,UG+PG,353178.2226050489,1302.4274164092865,0.0
ANDHRA PRADESH,2014,Diploma,87616.0,335.0,0.0
